序号    基金名称    基金代码    单位净值    累计净值    日增长率    日增长值
1    宝康灵活配置基金    240002    2.0915    3.8215    -2.84%    -0.0611
2    宝康消费品基金    240001    2.5372    7.2531    -4.29%    -0.1138
3    宝康债券基金    240003    1.2883    1.8983    -0.05%    -0.0007
4    宝盈策略增长股票    213003    1.7049    2.2849    -7.13%    -0.1308
5    宝盈泛沿海区域    213002    0.7740    2.5386    -7.26%    -0.0606
6    宝盈核心优势灵活    213006    1.3586    2.2986    -5.48%    -0.0788
7    宝盈鸿利收益基金    213001    1.0756    3.1085    -5.78%    -0.0660
8    宝盈祥瑞养老混合    000639    1.3140    1.3940    -0.68%    -0.0090
9    宝盈增强收益债券    213007    1.3091    1.6811    -0.68%    -0.0089
10    宝盈增强收益C类    213917    1.2694    1.6414    -0.68%    -0.0087
11    宝盈中证100    213010    1.2310    1.2310    -1.76%    -0.0220
12    宝盈资源优选股票    213008    2.0692    3.0469    -7.53%    -0.1684
13    博时安盈债券A类    000084    1.0520    1.0880    0.10%    0.0010
14    博时安盈债券C类    000085    1.0460    1.0780    0.10%    0.0010
15    博时策略灵活配置    050012    1.2580    1.2820    -4.62%    -0.0610
16    博时创业成长股票    050014    1.6790    1.7510    -7.14%    -0.1290
17    博时第三产业成长    050008    1.0920    3.6410    -6.02%    -0.0700
18    博时宏观回报A类    050016    1.1240    1.1750    -2.85%    -0.0330
19    博时宏观回报C类    050116    1.1250    1.1680    -2.85%    -0.0330
20    博时回报灵活配置    050022    1.6560    1.7720    -4.66%    -0.0810
21    博时价值增长贰号    050201    0.8110    2.2660    -1.93%    -0.0160
22    博时价值增长基金    050001    0.9380    3.4400    -1.88%    -0.0180
23    博时精选股票基金    050004    1.8320    3.4305    -6.09%    -0.1187
24    博时灵活配置混合    000178    1.2930    1.3840    0.00%    0.0000
25    博时内需灵活配置    000264    1.3140    1.1480    -5.52%    -0.0767
26    博时平衡配置混合    050007    1.0630    2.4990    -3.10%    -0.0340
27    博时上证超级大盘ETF联接    050013    0.9413    0.9413    -1.32%    -0.0126
28    博时上证自然资源ETF联接    050024    0.8871    0.8871    -6.35%    -0.0602
29    博时深证基本面200ETF    159908    1.3638    1.3638    -4.77%    -0.0683
30    博时深证基本面200ETF联接    050021    1.3509    1.3509    -4.39%    -0.0620
31    博时双债增强A    000280    1.1390    1.1480    0.09%    0.0010
32    博时双债增强C    000281    1.1340    1.1430    0.00%    0.0000
33    博时特许价值股票    050010    1.6550    2.0950    -2.36%    -0.0400
34    博时天颐债券A类    050023    1.1500    1.4030    -0.95%    -0.0110
35    博时天颐债券C类    050123    1.1320    1.3750    -0.96%    -0.0110
36    博时稳定价值A类    050106    1.3320    1.7160    0.23%    0.0030
37    博时稳定价值B类    050006    1.3190    1.6800    0.23%    0.0030
38    博时新兴成长股票    050009    0.8480    3.7520    -6.09%    -0.0550
39    博时信用债纯债    050027    1.0630    1.2170    0.09%    0.0010
40    博时信用债券A类    050011    1.9320    2.0470    0.05%    0.0010
41    博时信用债券C类    050111    1.9150    2.0120    0.05%    0.0010
42    博时行业轮动股票    050018    1.0580    1.0580    -6.29%    -0.0710
43    博时医疗保健行业    050026    1.8340    1.9730    -5.66%    -0.1100
44    博时裕富沪深300    050002    1.2644    3.2444    -3.17%    -0.0414
45    博时裕祥分级A类    160514    1.1760    1.2760    0.00%    0.0000
46    博时裕益灵活配置    000219    1.4830    1.6060    -6.67%    -0.1060
47    博时主题行业基金    160505    3.1100    5.1680    -4.54%    -0.1480
48    博时转债增强A类    050019    1.6500    1.6550    -2.14%    -0.0360
49    博时转债增强C类    050119    1.6380    1.6420    -2.09%    -0.0350
50    博时卓越品牌(LOF)    160512    1.9880    2.1500    -5.38%    -0.1130
51    财通保本型发起式    720003    1.2670    1.2670    -1.55%    -0.0200
52    财通多策略稳健    720002    1.0720    1.2070    -0.46%    -0.0050
53    财通价值动量混合    720001    2.1150    2.2050    -5.83%    -0.1310
54    财通可持续发展100    000042    1.8160    1.8160    -3.61%    -0.0680
55    财通可持续发展主题    000017    2.2380    2.5880    -6.20%    -0.1480
56    长安产业精选灵活发起式    000496    1.1840    1.1840    0.00%    0.0000
57    长安宏观策略股票    740001    1.2780    2.0980    -6.51%    -0.0890
58    长安沪深300非周期行业    740101    1.5920    1.6670    -5.01%    -0.0840
59    长城安心回报混合    200007    0.9662    2.4851    -4.14%    -0.0417
60    长城保本混合基金    200016    1.4960    1.4960    -0.66%    -0.0100
61    长城积极增利A类    200013    1.2660    1.3960    -0.16%    -0.0020
62    长城积极增利C类    200113    1.2420    1.3720    -0.08%    -0.0010
63    长城景气行业灵活    200011    1.7320    1.7570    -5.25%    -0.0960
64    长城久富核心成长    162006    1.3289    3.8647    -5.97%    -0.0843
65    长城久恒平衡基金    200001    1.5740    2.8140    0.00%    0.0000
66    长城久利保本混合    000030    1.7740    1.7740    -0.95%    -0.0170
67    长城久泰中信标普300    200002    1.6065    4.4665    -3.40%    -0.0566
68    长城久鑫保本混合    000649    0.9970    1.2210    -0.20%    -0.0020
69    长城久兆中小300分级    162010    0.7880    1.9260    -6.08%    -0.0510
